time,Addis Ababa ,Alemaya,Ambo ,Arba Minch,Awassa,Bahir Dar ,Debre Berhan,Debre Markos,Debre Tabor,Gambela,Gondar ,Gore,Humera,Jinka,Mankush,Mehal Meda ,Metehara ,Metema,Nedjo,Sirinka
2020-01-01,195.74,82.55499,6.4950004,139.68001,107.020004,0.705,71.71,6.75,4.49,5.8349996,11.585,23.075,0.005,112.700005,0.0,51.75,30.699999,0.29999998,2.2199998,0.195
2020-02-01,327.225,22.574999,26.255,27.315002,76.715,2.9250002,27.06,23.075,1.865,21.354998,6.3999996,43.565,0.0,114.84,0.0,8.35,0.0,0.0,1.7800001,2.865
2020-03-01,276.36996,66.274994,108.01,221.37497,253.24998,0.0,64.785,40.16,0.91999996,24.65,2.685,37.11,0.0,247.225,0.67499995,87.46999,76.384995,0.0,0.25,57.78
2020-04-01,332.54498,221.17001,198.48999,313.055,287.13998,5.7799993,109.61,76.89,57.14,80.44,78.075,97.435,5.9950004,320.76,13.31,120.675,194.65001,9.114999,30.889996,247.87
2020-05-01,264.415,252.62497,92.64001,111.76999,199.42,85.315,72.435,46.09,144.38998,140.09,112.655,186.82,65.274994,100.62,115.945,92.46999,16.28,93.275,194.29,106.00499
2020-06-01,381.675,100.59,169.18,114.875,109.78499,267.96,57.744995,146.89001,143.685,134.68,119.19501,196.72,164.57,116.34,226.03499,28.829998,60.149998,347.425,269.38498,23.605
2020-07-01,275.28998,243.81499,268.55002,49.204998,138.25,327.52,343.195,290.185,312.03998,182.45,306.34998,210.875,263.53497,82.96999,307.32498,240.42499,302.15997,366.385,317.385,225.565
2020-08-01,446.44,288.22998,285.03497,122.735,294.91998,342.56497,441.565,374.985,329.44,242.47998,298.19,191.64499,323.00497,135.87999,261.02,536.06494,356.345,292.555,322.775,390.15002
2020-09-01,533.29004,294.61,158.665,220.40498,185.96999,157.67,109.645,156.87498,72.619995,229.08499,59.059998,332.53497,361.605,116.04499,283.10498,86.74,152.18999,216.545,345.745,36.635
2020-10-01,129.905,42.78,32.734997,128.28,195.495,63.285,54.744995,57.049995,33.64,135.995,39.905,197.735,48.3,165.875,133.19998,8.94,13.449999,54.149998,100.189995,7.5950003
2020-11-01,124.815,143.78499,18.654999,39.245,43.585,3.06,46.28,16.45,3.17,62.395004,3.745,69.935,0.0,120.215,0.0,5.095,3.3899999,0.0,3.275,7.0049996
2020-12-01,59.244995,19.09,1.93,5.5449996,34.46,0.0,30.039997,8.174999,1.16,48.89,9.365,34.97,0.0,10.875,0.0,10.174999,2.81,0.0,0.085,0.0
2021-01-01,73.29,8.545,12.174999,1.8849998,45.565,0.435,22.214998,2.2999997,1.3199999,9.22,13.195,15.82,0.0,18.325,0.945,5.0499997,7.175,2.67,0.90000004,0.0
2021-02-01,90.525,20.86,56.469994,44.995,58.6,7.5849996,44.0,12.799999,7.6549993,4.7950006,5.625,6.415,1.16,49.625,0.19500002,28.589998,16.914999,0.0,2.01,16.48
2021-03-01,48.4,21.444998,20.325,38.170002,46.749992,23.679996,27.739998,13.800001,24.274998,70.985,8.855,141.68,0.31,43.33,11.739999,0.83,0.0,4.4949994,23.795002,3.11
2021-04-01,315.16,220.36499,87.2,300.825,223.955,43.429996,152.875,112.565,51.864998,75.10499,67.17,110.82,13.115,332.265,25.329998,110.255,84.2,39.11,62.235,44.57
2021-05-01,221.27502,142.04,161.15999,226.975,155.36,131.55,89.45999,119.420006,174.43,224.825,183.74,205.25499,55.85,165.655,86.695,116.74999,110.03999,99.715,199.51,67.735
2021-06-01,265.695,64.295,129.495,20.98,66.565,95.83499,19.425,96.34,50.234997,257.33496,77.375,370.18,152.63,22.919998,418.54498,12.98,11.014999,294.035,444.505,2.305
2021-07-01,266.84497,161.09999,248.14499,119.685,109.945,551.39,331.64,307.315,452.49,152.965,427.97998,214.565,382.765,118.92499,405.50998,427.125,238.51999,472.94,449.59995,336.34998
2021-08-01,225.88,222.56,197.63,78.505005,229.505,351.21,320.675,206.17499,355.815,214.22,328.61,322.19998,342.13498,92.35,310.63998,320.13995,119.17999,370.265,317.89,415.50998
2021-09-01,484.62,186.06,167.58,117.549995,232.23001,218.21498,118.865005,66.005005,92.2,237.15,82.14,339.385,145.73499,219.45999,237.13,198.01497,106.634995,278.55,281.215,70.08
2021-10-01,188.91,151.5,64.61,63.614998,59.650005,83.47,56.644997,51.659992,41.75,67.75,23.73,152.92,110.235,69.295,148.015,11.494999,64.68,116.56999,180.59999,37.34
2021-11-01,68.63999,14.505,4.545,24.335,78.255,10.225001,20.939999,20.195002,14.034999,63.64,15.299999,100.384995,0.0,32.715,50.21,1.4699999,0.16,1.3149999,62.55,1.09
2021-12-01,24.095001,0.9499999,5.5750003,7.69,24.99,3.24,9.385,10.379999,22.8,40.539997,15.629999,54.414997,0.0,14.195,0.545,0.29,0.105000004,4.7650003,3.725,4.8799996
2022-01-01,74.7,10.569999,54.965,136.43001,69.399994,4.12,15.04,19.83,17.125,12.674998,17.279999,34.315,0.015,53.639996,1.21,34.44,13.594999,0.114999995,3.2449994,57.019997
2022-02-01,111.33499,27.265,16.689999,24.374998,27.534998,5.755,30.99,20.885,23.310001,21.005,34.04,59.594994,0.0,41.019997,4.96,9.634999,6.3599997,0.0,5.1449995,4.0449996
2022-03-01,102.435,26.939999,57.344997,19.59,95.97498,11.490001,31.495,41.344997,9.574999,6.605,8.3949995,36.655,0.0,60.935,18.775002,45.814995,14.405,3.805,9.755,117.009995
2022-04-01,208.18,145.025,140.44,155.86002,134.59,53.4,44.68,53.515,54.039993,183.235,117.71,251.90999,60.164997,318.83002,80.795,19.49,83.72,60.36,93.9,41.394997
2022-05-01,62.24,16.185,11.25,94.509995,59.324997,33.589996,9.715,11.325,5.5150003,254.745,28.55,283.025,49.434998,181.45999,142.26999,4.5,9.464999,155.78998,223.00499,4.6399994
2022-06-01,285.52,134.80501,267.315,28.414999,88.365005,134.185,114.24,183.88,118.159996,320.335,225.88998,305.21,250.37,32.585,197.01999,65.995,66.354996,338.76498,392.90002,55.32
2022-07-01,257.02,205.13,258.985,20.025,92.32,368.78497,313.41998,229.03,297.08502,96.2,319.955,286.68,202.215,20.48,261.46997,296.19498,234.66501,351.765,214.95999,247.38
2022-08-01,372.41998,198.04498,265.455,74.05499,96.829994,357.58002,398.59998,237.62498,226.93997,256.81998,176.48999,285.025,233.01001,82.905,285.65997,282.135,180.13998,311.55002,270.93,513.765
